question,answer,text
How did Mad-Eye Moody punish Draco Malfoy for trying to Hex Harry?,He turned Draco into a ferret.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: How did Mad-Eye Moody punish Draco Malfoy for trying to Hex Harry? [/INST] He turned Draco into a ferret. </s>
Who was the founder of Beauxbatons Academy of Magic?,Beauxbatons,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who was the founder of Beauxbatons Academy of Magic? [/INST] Beauxbatons </s>
"What is the name of the magical plant that resembles a large, venomous plant with fangs?",Mimbulus Mimbletonia,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical plant that resembles a large, venomous plant with fangs? [/INST] Mimbulus Mimbletonia </s>"
Who was the ghost of Hufflepuff House during Harry Potter's time at Hogwarts?,The Fat Friar,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who was the ghost of Hufflepuff House during Harry Potter's time at Hogwarts? [/INST] The Fat Friar </s>
What is the name of the current Defense Against the Dark Arts professor during Harry Potter's third year?,Remus Lupin,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the current Defense Against the Dark Arts professor during Harry Potter's third year? [/INST] Remus Lupin </s>
Where can dark cloud constellations be most easily seen?,The Southern Hemisphere.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Where can dark cloud constellations be most easily seen? [/INST] The Southern Hemisphere. </s>
What is the name of the spell used to create a protective shield around the caster?,Protego,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to create a protective shield around the caster? [/INST] Protego </s>
What magazine does Xenophilius Lovegood publish?,The Quibbler,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What magazine does Xenophilius Lovegood publish? [/INST] The Quibbler </s>
What is Madam Hooch's second job?,Quiddich Referee,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is Madam Hooch's second job? [/INST] Quiddich Referee </s>
What's Helga Hufflepuff's signature item?,Cup,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What's Helga Hufflepuff's signature item? [/INST] Cup </s>
"What is the name of the magical object that Harry inherits from his father, James Potter?",Invisibility Cloak,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical object that Harry inherits from his father, James Potter? [/INST] Invisibility Cloak </s>"
What is the name of the spell used to reveal hidden messages or invisible ink?,Revelio,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to reveal hidden messages or invisible ink? [/INST] Revelio </s>
What is Luna Lovegood's father's name?,Xenophilius Lovegood.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is Luna Lovegood's father's name? [/INST] Xenophilius Lovegood. </s>
"What is the name of the potion that grants the drinker immense strength, but can be highly dangerous?","Felix Felicis, also known as Liquid Luck","<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the potion that grants the drinker immense strength, but can be highly dangerous? [/INST] Felix Felicis, also known as Liquid Luck </s>"
What is the name of the ghost who haunts the Ravenclaw Tower?,The Grey Lady,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the ghost who haunts the Ravenclaw Tower? [/INST] The Grey Lady </s>
What is an acceptable use of the Orb?,Divining the future,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is an acceptable use of the Orb? [/INST] Divining the future </s>
Which dark magic item is known as the friend of thieves?,Hand of Glory,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which dark magic item is known as the friend of thieves? [/INST] Hand of Glory </s>
What is Voldemort's real name?,Tom Marvolo Riddle,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is Voldemort's real name? [/INST] Tom Marvolo Riddle </s>
What is the incantation for the Disarming Spell?,Expelliarmus,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the incantation for the Disarming Spell? [/INST] Expelliarmus </s>
Who founded Hogsmeade Village?,Hengist of Woodcroft,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who founded Hogsmeade Village? [/INST] Hengist of Woodcroft </s>
Who is the flying instructor?,Madam Hooch,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who is the flying instructor? [/INST] Madam Hooch </s>
How does Ron’s relationship with Harry and Hermione challenge his prejudices and assumptions about blood status and lineage?,"It helps him overcome his biases and see individuals for who they are, rather than judging them based on their family background or magical abilities.","<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: How does Ron’s relationship with Harry and Hermione challenge his prejudices and assumptions about blood status and lineage? [/INST] It helps him overcome his biases and see individuals for who they are, rather than judging them based on their family background or magical abilities. </s>"
Where did Dumbledore meet Tom Riddle for the first time?,Wool's Ophanage,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Where did Dumbledore meet Tom Riddle for the first time? [/INST] Wool's Ophanage </s>
What spell would you use to men a pair of glasses?,Reparo,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What spell would you use to men a pair of glasses? [/INST] Reparo </s>
What did Harry do to get him temporarily expelled from Hogwarts?,He chases away dementors,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What did Harry do to get him temporarily expelled from Hogwarts? [/INST] He chases away dementors </s>
